Ticket ID,Title,Phase,Milestone,Priority,Area,Recommended Status
"PF-001","Repo skeleton",0,"M1 — Research MVP","P0","backend","Ready"
"PF-002","Docker local environment",0,"M1 — Research MVP","P0","devops","Ready"
"PF-003","Shared config and env handling",0,"M1 — Research MVP","P0","backend","Ready"
"PF-004","API response envelope",0,"M1 — Research MVP","P0","backend","Ready"
"PF-005","Health endpoints",0,"M1 — Research MVP","P0","backend","Ready"
"PF-006","Structured logging baseline",0,"M1 — Research MVP","P0","observability","Ready"
"DB-001","Baseline migrations",0,"M1 — Research MVP","P0","database","Ready"
"DB-002","Market schema",0,"M1 — Research MVP","P0","database","Ready"
"FE-001","App shell",0,"M1 — Research MVP","P0","frontend","Ready"
"FE-002","Design tokens",0,"M1 — Research MVP","P0","frontend","Ready"
"FE-003","Shared badges and states",0,"M1 — Research MVP","P0","frontend","Ready"
"FE-004","Mock API layer",0,"M1 — Research MVP","P0","frontend","Ready"
"DB-003","Research schema",1,"M1 — Research MVP","P0","database","Ready"
"DASH-001","Dashboard summary API",1,"M1 — Research MVP","P0","backend","Ready"
"DASH-002","Dashboard UI",1,"M1 — Research MVP","P0","frontend","Ready"
"RES-001","Market snapshot ingestion",1,"M1 — Research MVP","P0","backend","Ready"
"RES-002","Document ingestion",1,"M1 — Research MVP","P0","backend","Ready"
"RES-003","Archive retrieval stub",1,"M1 — Research MVP","P1","backend","Ready"
"RES-004","Event extraction",1,"M1 — Research MVP","P1","backend","Ready"
"RES-005","Research explain endpoint",1,"M1 — Research MVP","P0","backend","Ready"
"RES-006","Research UI",1,"M1 — Research MVP","P0","frontend","Ready"
"SET-001","Settings API",1,"M1 — Research MVP","P1","backend","Ready"
"SET-002","Settings UI",1,"M1 — Research MVP","P1","frontend","Ready"
"OBS-001","Audit write helpers",1,"M1 — Research MVP","P0","observability","Ready"
"OBS-002","Audit query API",1,"M1 — Research MVP","P1","backend","Ready"
"OBS-003","Metrics baseline",1,"M1 — Research MVP","P1","observability","Ready"
"OBS-004","Trace baseline",1,"M1 — Research MVP","P1","observability","Backlog"
"DB-004","Connections schema",2,"M2 — Paper Trading","P1","database","Backlog"
"CON-001","Exchanges list API",2,"M1 — Research MVP","P0","backend","Ready"
"CON-002","Exchange connection test API",2,"M1 — Research MVP","P0","backend","Ready"
"CON-003","Exchange save API",2,"M1 — Research MVP","P0","backend","Ready"
"CON-004","Dynamic credential forms",2,"M1 — Research MVP","P0","frontend","Ready"
"CON-005","Provider connection API",2,"M1 — Research MVP","P1","backend","Ready"
"CON-006","Connections page UI",2,"M1 — Research MVP","P0","frontend","Ready"
"CON-007","Onboarding flow",2,"M1 — Research MVP","P1","frontend","Ready"
"DB-005","Risk and recommendation schema stub",3,"M2 — Paper Trading","P1","database","Backlog"
"SM-001","Mode state machine",3,"M2 — Paper Trading","P1","backend","Backlog"
"SM-002","Recommendation approval order and position state machines",3,"M2 — Paper Trading","P1","backend","Backlog"
"SM-003","Policy engine",3,"M2 — Paper Trading","P1","backend","Backlog"
"PAPER-001","Recommendation generation",3,"M2 — Paper Trading","P1","backend","Backlog"
"PAPER-002","Paper approval workflow",3,"M2 — Paper Trading","P0","backend","Backlog"
"PAPER-003","Trading page UI",3,"M2 — Paper Trading","P1","frontend","Backlog"
"PAPER-004","Risk page UI",3,"M2 — Paper Trading","P1","frontend","Backlog"
"TEST-001","Unit suite for core logic",3,"M2 — Paper Trading","P0","qa","Ready"
"TEST-002","Integration suite for persistence and service workflows",3,"M2 — Paper Trading","P0","qa","Ready"
"TEST-003","Contract suite for API compatibility",2,"M2 — Paper Trading","P0","qa","Ready"
"TEST-004","Workflow suite for end to end paper flows",3,"M2 — Paper Trading","P1","qa","Backlog"
"LIVE-001","One live exchange adapter",4,"M3 — Live Approval","P2","backend","Backlog"
"LIVE-002","Live approval workflow",4,"M3 — Live Approval","P2","backend","Backlog"
"LIVE-003","Reconciliation job",4,"M3 — Live Approval","P2","workers","Backlog"
"LIVE-004","Kill switch",4,"M3 — Live Approval","P1","backend","Backlog"
"LIVE-005","Live trading UI controls",4,"M3 — Live Approval","P2","frontend","Backlog"
"EVT-001","Redis Streams event bus",4,"M4 — Automation and Ops","P2","backend","Backlog"
"EVT-002","Worker framework",4,"M4 — Automation and Ops","P2","workers","Backlog"
"EVT-003","Projection updater",4,"M4 — Automation and Ops","P2","backend","Backlog"
"TERM-001","Terminal parser and registry",6,"M4 — Automation and Ops","P2","backend","Backlog"
"TERM-002","Terminal API",6,"M4 — Automation and Ops","P2","backend","Backlog"
"TERM-003","Terminal UI",6,"M4 — Automation and Ops","P2","frontend","Backlog"
"TEST-005","Chaos and idempotency suite",4,"M4 — Automation and Ops","P2","qa","Backlog"
"HARD-001","Alerting rules",5,"M4 — Automation and Ops","P2","observability","Backlog"
"HARD-002","Security hardening",5,"M4 — Automation and Ops","P2","security","Backlog"
"HARD-003","Replay and debug tools",6,"M4 — Automation and Ops","P2","backend","Backlog"
